key,936433-937914,937914-940794,940794-943674,943674-946554,946554-949434,949434-952314,952314-955194,955194-958074,958074-960954,960954-963834,963834-966714,966714-969594,969594-972474,972474-975354,975354-978234,978234-981114,981114-983994,983994-986874,986874-989754,989754-992634,992634-995514,995514-998394,998394-1001274,1001274-1004154,1004154-1007034,1007034-1009914,1009914-1012794,1012794-1015674,1015674-1018554,1018554-1021434,1021434-1024314,1024314-1027194,1027194-1030074,1030074-1032954,1032954-1035834,1035834-1038714,1038714-1041594,1041594-1044474,1044474-1047354,1047354-1050234,1050234-1053114,1053114-1055994,1055994-1058874,1058874-1061754,1061754-1064634,1064634-1067514,1067514-1070394,1070394-1073274,1073274-1076154,1076154-1079034,1079034-1081914,1081914-1084794,1084794-1087674,1087674-1090554,1090554-1093434,1093434-1096314,1096314-1099194,1099194-1102074,1102074-1104954,1104954-1107834,1107834-1110714,1110714-1113594,1113594-1116474,1116474-1119354,1119354-1122234,1122234-1125114,1125114-1127994,1127994-1130874,1130874-1133754,1133754-1136634,1136634-1139514,1139514-1142394,1142394-1145274,1145274-1148154,1148154-1151034,1151034-1153914,1153914-1156794,1156794-1159674,1159674-1162554,1162554-1165434,1165434-1168314,1168314-1171194,1171194-1174074,1174074-1176954,1176954-1179834,1179834-1182714,1182714-1185594,1185594-1188474,1188474-1191354,1191354-1194234,1194234-1197114,1197114-1199994,1199994-1202874,1202874-1205754,1205754-1208634,1208634-1211514,1211514-1214394,1214394-1217274,1217274-1220154,1220154-1223034,1223034-1225914,1225914-1228794,1228794-1231674,1231674-1234554,1234554-1237434,1237434-1240314,1240314-1243194,1243194-1246074,1246074-1248954,1248954-1251834,1251834-1254714,1254714-1257594,1257594-1260474,1260474-1263354,1263354-1266234,1266234-1269114,1269114-1271994,1271994-1274874,1274874-1277754,1277754-1280634,1280634-1283514,1283514-1286394,1286394-1289274,1289274-1292154,1292154-1295034,1295034-1297914,1297914-1300794
0000e479184db354bd56503455085458fb51c1f51c11f4acf3d3084a4d819c2c,0,2,4,2,1,5,2,3,0,4,1,2,4,2,1,2,2,2,3,2,3,2,3,2,4,2,3,4,2,2,1,4,4,4,6,3,1,3,3,6,2,2,0,3,3,1,2,5,3,5,5,0,1,1,1,3,2,4,4,3,1,3,0,8,1,4,3,2,3,4,2,1,3,3,2,4,6,2,0,1,1,3,6,3,2,4,4,1,2,2,1,6,1,4,0,2,0,4,4,3,0,1,2,2,1,3,5,5,5,4,4,2,3,0,2,4,4,2,1,0,0,3,3,3,1,2,7
003acff0c8b0d291a3edc200e323f2b404944767e5f2f27ba4aaa1a29a667037,0,1,2,2,2,1,4,1,3,1,1,1,1,7,2,1,1,2,1,1,1,3,1,2,3,1,1,3,1,3,1,2,2,3,1,4,1,1,1,4,2,2,1,1,4,4,1,3,3,3,1,1,1,3,5,3,2,4,0,2,2,2,6,3,1,2,7,2,0,1,1,3,4,2,0,2,2,2,3,2,2,4,2,5,3,1,1,5,1,2,3,3,1,3,3,3,3,2,2,3,6,2,3,4,1,3,1,3,2,3,2,2,2,5,3,4,5,0,3,3,5,1,3,0,1,4,0
00539481fd70505d9eac2e12521099b35c5c2075a08a7bbdac4d5cc3da049816,1,1,1,3,5,2,1,2,7,1,2,2,2,3,1,2,0,2,5,2,4,3,5,4,3,7,1,2,2,2,2,4,2,3,0,4,1,1,1,4,4,1,4,4,3,2,0,3,4,2,1,1,1,2,3,1,5,4,3,2,1,1,1,2,3,2,5,1,2,3,2,0,6,4,3,6,2,1,5,5,2,3,4,4,2,3,4,3,1,5,2,1,2,2,2,7,5,2,1,2,2,2,5,3,2,4,3,0,3,1,4,3,6,5,3,2,4,5,2,2,3,5,1,5,3,1,1
0064d095bca2b5f579ece57a28e56d8327b893d4c4fadb9da5e6dad5b1aba34c,1,3,4,1,2,1,4,1,2,3,5,3,4,0,4,3,7,1,3,1,2,3,4,3,4,1,3,2,2,3,4,1,2,1,4,3,4,1,2,3,8,1,5,5,3,1,4,2,3,0,1,4,1,1,5,1,0,4,1,3,1,3,7,0,0,1,2,2,5,2,4,4,7,0,3,2,4,2,3,5,2,5,3,2,4,5,1,4,1,0,2,4,2,1,0,1,6,8,5,1,3,5,2,6,1,3,1,4,2,6,4,4,3,4,5,1,1,6,6,0,2,2,2,0,1,1,4
006bcdca43738aedab07a4cc5cff884aa6cbd99bd1eea70eae897b024c176321,0,0,4,6,0,2,3,4,3,0,7,2,0,4,6,1,5,0,2,4,3,1,3,1,2,3,2,3,3,1,3,2,2,1,3,2,3,1,3,2,5,1,2,2,2,3,2,4,5,1,2,2,4,4,2,1,4,2,4,1,3,2,1,4,4,1,6,1,1,4,3,2,2,4,4,1,3,1,5,1,2,5,2,5,1,3,1,1,2,3,6,4,4,7,6,1,4,2,4,3,2,3,2,4,3,0,5,4,0,3,2,3,2,1,3,2,1,2,0,1,3,1,2,2,3,2,0
007e61cb45704628e75ee811555381267cde64bf75c907f14ed72a15c6f3985d,1,4,1,3,2,1,5,4,5,4,2,1,2,1,2,3,7,1,2,3,3,4,5,2,4,4,4,4,4,3,4,2,4,2,2,3,0,3,2,2,4,2,2,0,2,3,2,4,2,1,2,5,3,0,1,2,3,4,3,1,3,3,0,2,3,3,3,5,1,3,3,3,2,3,2,4,4,2,2,5,3,0,5,4,2,2,3,2,3,3,3,2,3,2,0,3,1,2,3,3,4,1,4,1,2,2,3,6,5,4,7,1,2,1,6,8,0,1,1,1,3,2,4,2,2,2,4
00a5a09c2545f6d95bb805973f6ee37fae00b7ffd2e8e02868de791957273868,2,2,1,3,2,3,4,4,4,0,5,3,3,2,4,0,3,1,1,6,2,6,4,3,2,4,6,1,1,3,6,3,3,2,2,4,5,0,0,6,2,3,3,3,1,2,3,2,3,0,3,0,2,1,2,3,3,4,4,4,5,6,6,3,2,2,3,1,3,2,2,1,1,2,4,3,5,4,2,4,2,5,1,2,5,1,4,1,4,0,2,2,3,3,1,2,1,2,1,4,6,2,1,1,3,4,5,5,1,2,4,1,1,6,3,5,0,0,2,4,1,1,3,4,3,2,1
00a9942871104faeea0a7d81d4957b13de1603b04399705d20f6e1e64b00f85f,1,10,5,4,3,5,4,4,2,1,2,2,2,3,2,4,3,7,3,3,0,3,4,0,0,0,2,2,0,2,2,3,4,1,1,3,2,1,1,2,1,2,3,1,2,1,4,5,2,1,3,3,5,1,3,3,2,7,2,3,2,5,7,2,0,2,4,2,3,2,3,6,5,3,2,4,1,2,2,2,3,8,4,1,3,2,0,3,4,3,3,1,1,2,4,0,0,0,4,2,2,2,2,0,3,5,4,5,4,1,4,2,2,3,2,1,1,6,3,3,1,0,3,4,3,4,2
00ce23389a4563989ad6624e6f7157c3e21f21b7c2dc21c501221f4cf2c7aa12,0,3,2,0,3,4,3,4,3,3,4,1,2,2,3,7,1,0,2,4,1,3,4,4,1,2,2,2,4,5,8,1,3,1,4,4,1,2,2,3,4,2,3,1,1,1,2,2,3,3,6,4,1,1,1,4,1,3,3,2,1,5,1,3,3,1,2,3,5,0,3,3,6,5,2,6,2,3,4,2,5,3,3,4,2,6,3,1,2,3,1,1,3,2,2,4,2,0,3,3,2,1,2,3,1,1,3,1,1,1,1,2,4,0,2,5,2,4,1,6,2,4,1,1,1,3,5
00dff420ed13e13cad8f5e5999127211614da1111fb6b3e3c15e15dce0b7502e,0,4,2,3,4,1,2,2,2,2,0,5,3,0,3,1,2,4,1,2,2,6,5,5,3,2,4,3,2,0,4,5,4,4,3,2,3,2,1,2,2,1,0,1,5,4,1,2,1,2,4,1,6,1,2,1,3,2,2,1,1,3,1,1,4,5,4,3,1,1,3,1,3,1,3,3,2,2,6,0,3,5,0,2,1,2,1,4,1,1,4,1,3,1,4,1,1,2,1,4,2,6,3,3,2,5,3,1,1,2,4,3,2,0,3,1,3,1,1,1,3,4,2,3,3,4,1
